@relation 'hr_attrition_synthetic 1'

@attribute EmployeeID numeric
@attribute Age numeric
@attribute Gender {Female,Male}
@attribute Department {IT,Finance,Sales,R&D,HR}
@attribute JobRole {'QA Engineer','Financial Analyst','Software Engineer',Accountant,'Sales Manager','Lab Technician','HR Executive','Research Scientist',Recruiter,'Sales Executive','DevOps Engineer'}
@attribute MonthlyIncome numeric
@attribute YearsAtCompany numeric
@attribute YearsSinceLastPromotion numeric
@attribute JobSatisfaction numeric
@attribute WorkLifeBalance numeric
@attribute EducationLevel numeric
@attribute TrainingHoursLastYear numeric
@attribute OverTime {No,Yes}
@attribute PerformanceRating numeric
@attribute Attrition {No,Yes}

@data
1073,28,Female,HR,Recruiter,58753,18,10,1,4,4,62,No,4,Yes
1074,30,Male,HR,'HR Executive',136863,16,0,4,3,3,37,No,2,No
1075,45,Female,Sales,'Sales Executive',25225,13,7,4,1,2,52,Yes,1,No
1076,22,Male,Finance,'Financial Analyst',138008,18,2,3,1,1,66,Yes,2,Yes
1077,29,Male,R&D,'Lab Technician',120823,12,7,4,1,5,27,No,1,No
1078,45,Male,IT,'DevOps Engineer',28669,11,7,2,3,5,2,No,2,Yes
1079,32,Female,Finance,'Financial Analyst',139398,5,4,3,2,2,79,Yes,1,Yes
1080,38,Male,HR,'HR Executive',125677,20,0,4,2,4,21,Yes,1,No
1081,29,Male,Finance,'Financial Analyst',63320,3,9,2,2,1,37,Yes,2,Yes
1082,56,Male,R&D,'Lab Technician',140354,18,6,4,2,5,71,Yes,2,No
1083,56,Male,IT,'Software Engineer',103009,15,9,4,1,5,71,Yes,1,No
1084,54,Female,IT,'Software Engineer',43625,12,4,1,1,4,61,No,5,No
1085,26,Female,R&D,'Research Scientist',39089,3,7,4,4,2,56,Yes,2,Yes
1086,49,Male,R&D,'Research Scientist',51487,16,8,4,3,1,5,No,3,No
1087,28,Female,HR,Recruiter,125448,0,10,2,3,2,77,No,4,No
1088,30,Male,IT,'Software Engineer',65138,17,6,2,2,2,31,Yes,1,No
1089,29,Male,Finance,'Financial Analyst',69061,19,6,1,1,1,9,Yes,1,No
1090,33,Male,Sales,'Sales Manager',116376,16,0,4,2,1,2,No,4,No
1091,55,Female,Sales,'Sales Executive',94134,14,3,1,4,5,58,Yes,5,Yes
1092,54,Female,R&D,'Research Scientist',62055,10,1,4,3,5,75,No,4,No
1093,44,Female,HR,Recruiter,34508,12,1,3,3,1,48,Yes,2,No
1094,45,Female,Sales,'Sales Executive',125169,0,1,3,2,3,58,Yes,4,Yes
1095,58,Female,IT,'DevOps Engineer',23125,16,3,1,4,5,30,Yes,1,Yes
1096,56,Female,R&D,'Lab Technician',51059,5,0,1,3,3,68,No,4,No
1097,43,Female,Finance,Accountant,118409,3,3,1,4,1,61,Yes,3,Yes
1098,48,Female,R&D,'Research Scientist',20704,19,1,2,4,5,51,No,2,Yes
1099,56,Female,Finance,Accountant,126279,15,4,2,2,2,40,Yes,4,Yes
1100,22,Male,R&D,'Research Scientist',133516,14,2,2,1,1,30,No,1,Yes
1101,56,Female,R&D,'Lab Technician',129044,14,7,1,2,4,21,Yes,2,Yes
1102,58,Female,R&D,'Lab Technician',44165,5,3,4,1,3,3,No,1,No
1103,35,Female,Finance,Accountant,82203,14,0,3,4,1,12,No,5,No
1104,24,Female,Finance,'Financial Analyst',19114,13,0,1,1,1,44,No,3,No
1105,22,Female,R&D,'Lab Technician',51321,10,9,2,4,5,41,No,5,No
1106,26,Female,Sales,'Sales Manager',88297,6,2,2,3,5,48,No,3,No
1107,47,Female,HR,'HR Executive',111652,8,8,1,3,5,19,No,4,No
1108,35,Female,HR,'HR Executive',114304,15,6,1,3,4,76,Yes,2,No
1109,48,Female,HR,'HR Executive',32772,4,1,2,2,5,80,No,4,No
1110,30,Female,Finance,'Financial Analyst',118754,19,8,4,2,1,53,No,3,No
1111,36,Female,Finance,Accountant,18712,9,9,2,4,5,35,No,3,No
1112,36,Male,Sales,'Sales Executive',147439,17,1,2,3,2,0,Yes,3,Yes
1113,47,Male,HR,'HR Executive',130142,2,2,1,2,5,14,Yes,1,Yes
1114,34,Female,HR,'HR Executive',106736,12,10,4,3,4,76,Yes,2,Yes
1115,53,Female,R&D,'Research Scientist',66924,10,9,2,2,2,16,No,4,No
1116,53,Male,Finance,Accountant,18726,16,1,2,1,1,23,Yes,4,Yes
1117,25,Female,HR,Recruiter,104152,12,2,3,1,1,57,Yes,5,No
1118,51,Male,Sales,'Sales Manager',42723,5,5,1,3,3,71,No,3,Yes
1119,58,Male,Sales,'Sales Executive',141969,16,8,3,4,2,22,No,3,No
1120,44,Male,HR,'HR Executive',115494,12,8,3,2,3,45,Yes,3,Yes
1121,36,Male,Finance,'Financial Analyst',50643,18,6,2,2,2,71,No,4,Yes
1122,50,Male,Sales,'Sales Manager',118896,20,2,1,1,2,7,No,5,Yes
1123,57,Female,R&D,'Research Scientist',108680,18,3,4,1,4,58,No,1,No
1124,34,Male,Sales,'Sales Executive',111546,9,5,2,4,3,58,No,2,No
1125,53,Female,IT,'QA Engineer',94973,2,10,4,4,4,12,Yes,1,No
1126,28,Female,IT,'Software Engineer',78449,13,4,4,4,2,38,No,4,No
1127,43,Male,Finance,'Financial Analyst',124834,18,1,1,3,1,27,Yes,3,Yes
1128,49,Male,HR,'HR Executive',40537,4,5,3,1,2,60,Yes,2,No
1129,23,Female,Finance,Accountant,92576,4,2,1,3,4,15,Yes,4,Yes
1130,27,Male,Finance,Accountant,122522,19,7,4,1,3,1,Yes,4,No
1131,49,Male,Finance,Accountant,37612,16,1,2,1,3,16,No,4,No
1132,49,Female,Finance,'Financial Analyst',21471,20,0,4,2,4,29,No,2,No
1133,41,Female,R&D,'Lab Technician',46348,9,8,2,1,3,12,No,2,No
1134,51,Male,R&D,'Lab Technician',16177,4,2,2,1,5,12,Yes,5,No
1135,32,Female,Sales,'Sales Executive',47779,3,10,1,3,1,42,Yes,5,Yes
1136,49,Male,IT,'Software Engineer',36636,5,0,4,1,1,20,Yes,1,No
1137,46,Male,Finance,'Financial Analyst',96889,3,6,3,3,1,54,No,2,No
1138,54,Male,Sales,'Sales Executive',68551,6,9,4,4,3,80,Yes,2,Yes
1139,22,Female,IT,'QA Engineer',61819,6,4,4,1,3,39,No,2,Yes
1140,48,Female,HR,Recruiter,88770,17,4,3,1,2,14,No,5,No
1141,34,Female,R&D,'Lab Technician',93714,2,0,1,3,2,72,No,4,No
1142,24,Female,IT,'DevOps Engineer',39596,0,8,4,4,1,51,No,3,No
1143,27,Female,HR,Recruiter,79106,3,6,4,2,5,73,Yes,5,No
1144,29,Male,IT,'Software Engineer',74182,5,7,2,4,2,52,No,2,No
1145,48,Male,R&D,'Research Scientist',102163,8,8,4,3,2,51,Yes,5,Yes
1146,30,Male,R&D,'Lab Technician',54310,13,5,3,4,3,29,No,1,No
1147,58,Male,Sales,'Sales Executive',71088,11,4,2,3,5,32,Yes,2,No
1148,54,Female,Finance,'Financial Analyst',143803,19,5,1,3,1,56,Yes,1,Yes
1149,45,Male,IT,'Software Engineer',51914,3,10,2,2,2,51,No,2,No
1150,36,Female,IT,'DevOps Engineer',125350,20,1,3,1,5,8,No,5,Yes
1151,53,Male,HR,'HR Executive',60379,11,3,3,3,5,53,No,4,No
1152,53,Female,R&D,'Research Scientist',61413,9,2,2,3,1,0,Yes,3,No
1153,45,Female,IT,'Software Engineer',22151,6,6,1,2,5,43,No,1,No
1154,33,Male,R&D,'Research Scientist',72716,2,8,2,3,5,74,No,5,No
1155,23,Male,IT,'QA Engineer',108747,13,4,1,1,5,79,Yes,4,No
1156,24,Male,Sales,'Sales Manager',136999,9,5,2,2,2,8,No,5,No
1157,58,Male,Finance,'Financial Analyst',129793,15,9,3,1,1,31,Yes,1,No
1158,38,Female,IT,'Software Engineer',123177,15,1,4,1,5,14,No,3,Yes
1159,23,Male,R&D,'Research Scientist',27289,9,2,4,2,5,11,Yes,5,No
1160,23,Male,Sales,'Sales Manager',101365,12,2,1,3,2,77,Yes,2,Yes
1161,49,Female,IT,'DevOps Engineer',129014,5,8,1,1,1,56,No,4,No
1162,44,Male,HR,'HR Executive',87588,11,6,1,1,3,7,Yes,5,Yes
1163,58,Male,Finance,'Financial Analyst',78646,8,7,3,1,2,71,No,4,No
1164,53,Male,IT,'QA Engineer',18654,12,10,2,1,1,26,No,2,Yes
1165,54,Male,Sales,'Sales Manager',33743,3,9,3,2,5,61,Yes,3,No
1166,22,Male,HR,'HR Executive',63368,10,10,4,2,1,11,No,3,No
1167,40,Female,Sales,'Sales Manager',134735,19,8,1,4,1,64,Yes,2,Yes
1168,23,Male,Sales,'Sales Manager',134891,17,5,2,4,1,41,Yes,4,No
1169,47,Male,HR,'HR Executive',122971,10,3,4,1,3,61,Yes,5,Yes
1170,53,Male,Sales,'Sales Manager',27149,20,0,4,3,1,10,Yes,2,No
1171,27,Male,HR,Recruiter,115102,3,7,4,1,3,42,Yes,1,No
1172,53,Male,IT,'QA Engineer',74189,17,6,3,3,5,16,Yes,4,Yes
1173,25,Female,HR,Recruiter,86031,0,1,1,1,3,31,Yes,3,No
1174,32,Male,HR,'HR Executive',57668,6,7,4,4,5,39,Yes,2,Yes
1175,38,Female,Finance,Accountant,103204,5,4,1,4,5,22,No,3,Yes
1176,45,Female,HR,Recruiter,52384,14,6,3,3,3,55,No,4,No
1177,26,Male,HR,Recruiter,96929,17,3,4,1,2,5,Yes,3,Yes
1178,55,Male,IT,'DevOps Engineer',142959,10,4,3,3,4,49,No,2,No
1179,27,Male,Finance,'Financial Analyst',91153,19,7,3,4,1,36,No,4,No
1180,43,Male,R&D,'Research Scientist',90388,14,0,1,1,4,63,No,1,Yes
1181,32,Female,IT,'Software Engineer',46401,15,0,4,1,1,53,No,2,No
1182,37,Male,IT,'DevOps Engineer',134503,6,3,3,3,1,71,No,5,No
1183,54,Male,R&D,'Research Scientist',142834,20,2,4,2,5,48,No,2,No
1184,30,Male,HR,Recruiter,49084,9,9,1,3,1,10,Yes,4,Yes
1185,27,Male,Sales,'Sales Manager',125641,11,1,3,4,1,48,No,2,No
1186,37,Male,Finance,Accountant,120111,13,2,1,4,3,20,No,1,Yes
1187,50,Male,Sales,'Sales Manager',51041,4,10,4,4,4,65,No,1,No
1188,24,Female,R&D,'Lab Technician',103920,20,10,4,4,3,62,No,5,No
1189,41,Female,IT,'QA Engineer',80681,17,10,1,4,1,27,Yes,3,No
1190,57,Male,IT,'DevOps Engineer',96571,4,0,2,2,5,16,Yes,4,No
1191,40,Male,Finance,'Financial Analyst',142556,2,0,3,1,3,5,Yes,4,No
1192,47,Male,IT,'DevOps Engineer',41160,4,5,4,3,3,18,Yes,3,No
1193,24,Female,IT,'QA Engineer',32633,16,4,4,3,2,55,No,1,No
1194,40,Male,Finance,Accountant,32014,18,7,3,4,1,27,Yes,1,No
1195,41,Female,Finance,'Financial Analyst',95532,18,1,1,3,5,65,Yes,2,No
1196,53,Male,R&D,'Lab Technician',64104,20,3,1,4,3,37,Yes,5,Yes
1197,28,Male,IT,'QA Engineer',92231,11,7,1,2,3,36,Yes,5,Yes
1198,54,Male,IT,'QA Engineer',83388,8,5,2,2,5,67,No,5,No
1199,39,Male,R&D,'Lab Technician',31014,0,0,2,1,1,48,Yes,2,No
1200,22,Female,HR,'HR Executive',107578,17,3,4,2,2,42,No,5,No
1201,32,Female,HR,Recruiter,55390,20,0,1,2,3,35,Yes,3,Yes
1202,49,Male,HR,'HR Executive',38711,3,1,3,1,2,57,No,2,No
1203,46,Male,R&D,'Research Scientist',106658,9,4,4,3,4,12,No,3,Yes
1204,44,Female,IT,'QA Engineer',72993,6,7,3,4,1,51,Yes,2,No
1205,52,Female,R&D,'Research Scientist',22421,0,7,4,4,4,57,Yes,5,Yes
1206,51,Female,R&D,'Lab Technician',32727,16,10,2,3,4,31,Yes,3,No
1207,56,Female,HR,'HR Executive',127418,1,2,4,1,4,80,Yes,3,Yes
1208,28,Male,Sales,'Sales Executive',19358,10,10,2,3,1,59,No,3,Yes
1209,37,Female,IT,'QA Engineer',80108,8,3,4,2,1,57,No,2,No
1210,47,Male,HR,'HR Executive',109018,6,9,1,1,5,55,Yes,4,No
1211,23,Female,Sales,'Sales Manager',139457,16,10,3,1,2,27,Yes,5,Yes
1212,22,Female,Sales,'Sales Executive',46910,16,5,1,1,2,0,No,3,No
1213,33,Female,Finance,'Financial Analyst',141888,1,10,4,4,5,41,Yes,4,No
1214,26,Female,IT,'DevOps Engineer',70754,5,10,4,3,5,47,No,5,No
1215,58,Female,Sales,'Sales Manager',124847,13,9,4,1,4,39,Yes,5,Yes
1216,53,Male,HR,Recruiter,53467,5,2,2,1,5,62,No,3,No
1217,30,Male,Finance,Accountant,48893,1,1,3,1,3,75,No,3,No
1218,56,Female,IT,'Software Engineer',91329,0,5,3,3,2,71,No,2,Yes
1219,40,Female,R&D,'Research Scientist',46007,9,10,4,4,5,79,No,4,No
1220,37,Male,HR,'HR Executive',69253,20,4,4,2,3,3,No,4,No
1221,24,Female,Sales,'Sales Executive',27323,4,9,2,4,3,37,Yes,3,Yes
1222,41,Female,Sales,'Sales Executive',126335,1,4,1,1,3,26,No,5,No
1223,45,Male,HR,'HR Executive',127356,15,9,1,4,3,8,Yes,3,No
1224,54,Female,Sales,'Sales Executive',125944,1,4,3,4,4,15,No,5,No
1225,45,Female,Finance,Accountant,31456,9,9,2,2,3,55,No,5,No
1226,32,Male,IT,'Software Engineer',46367,1,4,4,3,4,75,Yes,3,No
1227,29,Male,Finance,Accountant,69624,15,2,3,3,4,30,Yes,1,No
1228,57,Male,Sales,'Sales Manager',83008,15,6,2,4,3,13,Yes,4,No
1229,41,Female,R&D,'Lab Technician',140926,18,5,1,4,2,24,Yes,5,Yes
1230,56,Male,IT,'DevOps Engineer',130395,6,3,2,3,3,33,No,5,No
1231,46,Male,IT,'QA Engineer',131492,11,1,1,3,3,66,Yes,1,No
1232,56,Male,HR,Recruiter,87240,14,8,2,2,3,23,No,2,No
1233,46,Male,HR,Recruiter,79315,7,0,3,1,2,72,Yes,1,No
1234,50,Male,R&D,'Lab Technician',25756,5,10,1,4,1,25,Yes,1,Yes
1235,39,Male,IT,'QA Engineer',51378,9,3,3,3,1,19,No,5,No
1236,39,Female,R&D,'Research Scientist',140703,2,0,3,4,4,63,No,4,No
1237,23,Female,HR,'HR Executive',71549,18,5,1,4,4,9,Yes,1,No
1238,56,Male,HR,'HR Executive',88794,16,3,1,3,2,66,No,2,Yes
1239,37,Male,IT,'DevOps Engineer',60113,6,4,4,2,5,23,No,3,No
1240,57,Male,Finance,'Financial Analyst',89069,20,4,4,4,1,4,No,1,No
1241,54,Female,Sales,'Sales Manager',140541,19,8,4,2,4,66,No,1,No
1242,25,Female,HR,Recruiter,24686,3,0,3,3,1,57,No,2,No
1243,54,Female,HR,'HR Executive',68363,13,1,3,1,2,26,No,4,No
1244,35,Female,Finance,Accountant,112543,19,5,4,1,2,79,No,1,No
1245,42,Female,Finance,Accountant,146733,14,4,3,4,5,14,No,1,No
1246,41,Female,R&D,'Lab Technician',110673,7,10,3,3,5,34,Yes,4,No
1247,29,Female,R&D,'Research Scientist',57828,20,6,1,2,2,75,No,2,Yes
1248,28,Female,Sales,'Sales Executive',63604,14,2,1,4,4,52,Yes,1,No
1249,24,Female,Sales,'Sales Manager',25526,19,2,3,3,1,43,No,4,No
1250,38,Male,IT,'DevOps Engineer',83910,13,9,4,3,3,25,No,1,No
1251,54,Male,R&D,'Research Scientist',40592,8,1,2,2,5,46,No,3,No
1252,33,Male,HR,'HR Executive',43982,7,2,4,4,3,33,No,5,No
1253,43,Male,R&D,'Research Scientist',15207,16,9,2,3,4,49,Yes,3,Yes
1254,43,Female,HR,'HR Executive',103733,1,0,4,3,5,11,Yes,1,No
1255,51,Female,Finance,Accountant,139982,2,4,1,3,3,3,No,2,No
1256,29,Male,R&D,'Research Scientist',83619,7,4,3,2,4,47,Yes,5,No
1257,48,Female,Finance,'Financial Analyst',61479,11,10,3,4,1,54,No,3,No
1258,48,Male,Sales,'Sales Manager',96437,0,6,1,4,4,0,No,4,No
1259,55,Female,Sales,'Sales Manager',113540,9,3,2,4,5,65,Yes,2,Yes
1260,42,Male,IT,'QA Engineer',87982,19,2,2,4,2,29,Yes,3,No
1261,51,Female,R&D,'Lab Technician',117747,2,0,2,1,1,2,No,4,No
1262,54,Female,Finance,Accountant,63231,5,7,1,1,3,20,No,1,No
1263,49,Male,HR,'HR Executive',44301,6,2,2,4,5,48,Yes,4,No
1264,54,Female,Sales,'Sales Manager',33752,19,1,1,2,2,61,No,3,No
1265,26,Male,Sales,'Sales Executive',113452,17,10,4,1,4,37,Yes,3,No
1266,40,Male,HR,'HR Executive',136237,10,3,4,3,2,14,No,1,No
1267,25,Male,Finance,'Financial Analyst',71273,18,2,1,1,5,51,No,4,No
1268,56,Male,Finance,'Financial Analyst',106878,4,0,3,3,5,78,Yes,4,No
1269,38,Female,R&D,'Lab Technician',19895,18,2,4,4,2,45,Yes,1,No
1270,49,Female,R&D,'Research Scientist',134968,10,1,2,1,4,24,Yes,4,Yes
1271,51,Female,IT,'QA Engineer',130700,11,7,1,2,2,20,No,1,No
1272,50,Male,Sales,'Sales Manager',91559,9,5,2,1,5,4,No,2,Yes
1273,27,Female,R&D,'Lab Technician',25699,7,8,2,1,5,69,No,3,No
1274,56,Male,Finance,'Financial Analyst',24715,8,7,3,1,3,46,No,2,No
1275,58,Female,HR,'HR Executive',34169,3,9,2,4,3,67,Yes,5,Yes
1276,45,Female,Finance,Accountant,133413,4,2,3,2,1,17,No,5,No
1277,50,Female,Sales,'Sales Executive',134264,20,4,4,1,5,20,No,5,No
1278,52,Male,Finance,Accountant,20782,7,6,1,2,3,22,No,1,No
1279,56,Female,IT,'QA Engineer',139481,8,4,2,4,2,63,Yes,4,Yes
1280,54,Female,Sales,'Sales Executive',50585,14,7,1,3,4,66,No,2,No
1281,42,Male,HR,Recruiter,45682,14,4,2,1,2,39,No,2,No
1282,53,Female,IT,'DevOps Engineer',144992,15,0,1,2,4,9,Yes,2,Yes
1283,44,Male,Sales,'Sales Manager',99416,13,4,2,2,3,51,No,2,No
1284,54,Female,HR,'HR Executive',142810,7,3,2,4,1,71,No,5,No
1285,24,Male,IT,'QA Engineer',53067,17,5,2,1,2,74,Yes,2,Yes
1286,39,Male,IT,'Software Engineer',33073,9,2,2,3,2,60,No,4,No
1287,46,Female,Sales,'Sales Manager',51035,19,10,2,2,2,63,No,5,No
1288,52,Male,R&D,'Lab Technician',105373,5,4,2,1,4,4,No,2,Yes
1289,24,Male,IT,'Software Engineer',98362,11,1,2,3,3,52,Yes,1,Yes
1290,45,Male,IT,'DevOps Engineer',105517,1,10,2,2,2,54,No,3,Yes
1291,53,Male,HR,'HR Executive',80450,6,5,2,2,2,36,No,3,No
1292,43,Male,Finance,'Financial Analyst',25382,15,5,1,3,1,55,Yes,3,No
1293,44,Male,Sales,'Sales Manager',76929,2,4,3,3,1,58,Yes,5,No
1294,23,Female,Sales,'Sales Executive',113864,12,5,2,4,3,68,No,2,Yes
1295,48,Male,R&D,'Research Scientist',40169,2,10,3,1,3,72,No,5,Yes
1296,23,Male,R&D,'Lab Technician',102468,17,6,2,1,5,58,No,4,Yes
1297,47,Female,Sales,'Sales Manager',49594,10,4,2,4,1,1,No,1,No
1298,38,Female,R&D,'Research Scientist',60033,7,0,1,2,5,64,Yes,1,Yes
1299,54,Female,HR,'HR Executive',78133,5,7,4,3,4,59,No,3,No
1300,30,Female,Sales,'Sales Manager',88861,0,3,4,3,5,50,Yes,3,Yes
1301,50,Female,R&D,'Lab Technician',46750,0,8,1,3,2,29,Yes,3,No
1302,47,Female,Sales,'Sales Manager',55461,7,9,3,2,5,10,No,2,No
1303,56,Female,Finance,'Financial Analyst',93222,4,5,4,3,3,75,No,4,No
1304,46,Male,IT,'Software Engineer',127020,15,0,1,3,4,38,Yes,4,No
1305,45,Male,Sales,'Sales Manager',39226,10,2,1,4,2,76,Yes,4,Yes
1306,34,Female,IT,'Software Engineer',21721,4,2,4,2,5,71,No,4,No
1307,28,Male,R&D,'Lab Technician',35609,3,9,3,1,4,62,Yes,3,No
1308,57,Male,IT,'QA Engineer',145513,5,3,1,4,4,63,No,1,No
1309,41,Male,Sales,'Sales Manager',119211,13,5,2,4,2,60,No,3,No
1310,22,Female,Finance,'Financial Analyst',139865,18,6,3,1,5,53,Yes,4,Yes
1311,29,Female,R&D,'Research Scientist',89520,8,9,3,4,4,72,Yes,3,No
1312,37,Male,Sales,'Sales Executive',79309,11,3,4,2,4,57,No,4,No
1313,35,Female,R&D,'Lab Technician',44984,10,5,4,3,1,55,Yes,5,Yes
1314,33,Male,HR,Recruiter,133947,13,10,2,2,4,33,No,1,No
1315,44,Male,IT,'QA Engineer',20901,15,0,1,1,1,30,No,5,No
1316,36,Male,HR,Recruiter,46055,0,7,4,1,5,51,No,2,No
1317,49,Male,Sales,'Sales Executive',129099,12,6,4,4,5,75,Yes,3,No
1318,55,Female,Finance,Accountant,26138,20,10,3,2,5,0,No,2,No
